order_id,order_date,order_status,customer_id,customer_segment,product_id,product_name,category,brand,unit_price,quantity_sold,discount,revenue,cost_of_goods_sold,profit,sales_channel,region,city,store_id,salesperson_id
ORD-10000,2024-10-16,Cancelled,CUST-1044,Loyalty Member,PROD-316,Laptop,Electronics,Sony,518.36,3,0.0,1555.08,962.87,592.21,Online,North,Delhi,STORE-7,SP-114
ORD-10001,2024-06-01,Cancelled,CUST-1142,Retail,PROD-488,Fiction Novel,Books,Macmillan,13.95,9,0.2,100.44,50.73,49.71,Online,West,Pune,STORE-9,SP-109
ORD-10002,2023-08-09,Completed,CUST-1235,Loyalty Member,PROD-163,Blender,Home & Kitchen,Philips,170.57,6,0.15,869.91,522.76,347.15,In-Store,North,Chennai,STORE-20,SP-123
ORD-10003,2024-08-14,Completed,CUST-1194,Wholesale,PROD-332,T-Shirt,Clothing,Nike,139.03,5,0.0,695.15,461.46,233.69,Mobile App,East,Bangalore,STORE-12,SP-122
ORD-10004,2023-08-03,Returned,CUST-1138,Loyalty Member,PROD-452,Blender,Home & Kitchen,Cuisinart,264.94,9,0.05,2265.24,1111.89,1153.35,Mobile App,South,Pune,STORE-2,SP-114
ORD-10005,2023-02-02,Returned,CUST-1202,Loyalty Member,PROD-334,Vacuum Cleaner,Home & Kitchen,Instant Pot,54.49,10,0.15,463.16,233.04,230.12,Online,East,Bangalore,STORE-8,SP-147
ORD-10006,2024-07-28,Completed,CUST-1260,Wholesale,PROD-146,Cookbook,Books,Macmillan,24.28,10,0.2,194.24,104.99,89.25,Online,North,Bangalore,STORE-6,SP-150
ORD-10007,2024-11-27,Cancelled,CUST-1005,Loyalty Member,PROD-469,Fitness Band,Sports,Nike,124.66,10,0.25,934.95,544.4,390.55,Online,Central,Chennai,STORE-11,SP-107
ORD-10008,2023-10-28,Completed,CUST-1152,Loyalty Member,PROD-359,Dumbbells,Sports,Reebok,15.92,5,0.0,79.6,45.92,33.68,Mobile App,South,Bangalore,STORE-12,SP-148
ORD-10009,2023-06-15,Completed,CUST-1157,Retail,PROD-129,Biography,Books,Penguin,31.95,8,0.0,255.6,122.17,133.43,Online,Central,Delhi,STORE-3,SP-146
